,text,Annotation
48,"@ummayman90 The only reason the overall numbers increase is because Muslims breed like rats, just like their prophet told them to do. #Islam",racism
49,"@ummayman90 And Muslims are expected to fear god as well.  If living in fear is your idea of perfect, you are stupid.",racism
50,"@ummayman90 It's not about who was not murdered by him, it's about who was.",racism
51,"@ummayman90 Because they breed like rats, kill non Muslims, and force religion on people by the sword.",racism
52,"@ummayman90 Yes, might, power, and imperialism is what it is all about.  There is zero spirituality in it.  Soon the world will understand.",racism
53,"@ummayman90 No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. #Islam",racism
54,@ummayman90 As a percentage there are very few. And they are usually poor women who marry a Muslim man. There is nothing persuasive in Islam,racism
55,@ummayman90 Only an idiot would think that god wants to be feared. Muslims cannot think beyond the characteristics of an earthly tyrant.,racism
56,"@ummayman90 Again, your entire concept of god corresponds to a tyrannical earthly egomaniac because you are simple and stupid. #Islam",racism
57,"@ummayman90 Again, you miss the point that god is not interested in military rule, phony frauds like Mohammed who benefit from it are #Islam",racism
58,@ummayman90 Exactly.  #Isam is a cult of death centered around the idea of going to a heaven that is described to be a giant whore house.,racism
59,@ummayman90 Keep repeating and believing your brain dead fairy tales - and follow your prophets medical advice. http://t.co/2Zo1lQg88V,racism
60,@ummayman90 #Islam is about forcing people to be Muslims.  Even your perverted Imams know it. http://t.co/e8m3w6ODvQ,racism
61,@hananehs @haaretzcom As they see more and more of the vileness of Islam in action they will change their minds. http://t.co/nPOd1nWqZe,racism
62,@Religiolizer The problem is that the cathedral doesn't understand that he prophet Mohammed declared war on all humanity 1400 years ago.,racism
63,@ilhaam673 @B1236M Here is how #Islam inscribes the inferiority and abuse of women. http://t.co/wXassJMkTd,racism
64,RT @IronmanL1: The Jihad of Words:how words in Islam are twisted to deceive the Kafir  http://t.co/aFcgWBrqAM,racism
65,"@klassydaisy ISIS follows what is in the Quran and the Hadiths and Sharia exactly, to the letter. #Islam",racism
66,"@LLiraqi Exactly.  Read the Quran and the Hadiths and find out for yourself how hateful, bigoted, sexist, vile and inhuman #Islam is.",racism
67,@Nigzzzk There is no personal relationship with creator in Islam. Everything comes through a phony prophet and the only relationship is fear,racism
68,@klassydaisy You are lying.  What does ISIS do that the prophet Mohammed did not do?  There are over 100 Islamic terrorist groups. #Islam,racism
69,@Nigzzzk The command to fear Allah is all through the Quran.  The ritual of groveling on the ground is one of fear. No personal relationship,racism
70,@Nigzzzk Do you grovel on the ground and fear other people that you have a personal relationship with?,racism
71,"RT @brassidio: Islam gave women rights. Unfortunately, they were less than they were before Islam http://t.co/RLJBP1ZOQh",racism
72,"RT @Wet_Napkin: Bigotry towards non- Muslim populations, along with religious cleansing, is as old as Islam itself.",racism
73,"Muslims claim that there is no racism in #Islam.  But like everything else they claim, it is a lie. http://t.co/PiR6nd159a",racism
74,"RT @dsyndergaard: Israeli spat upon, beaten by Muslims singing anti-Semitic songs in Berlin http://t.co/ursJ1GdnuK",racism
75,RT @brassidio: Muslims don't have any morals. http://t.co/OO37AiucR9,racism
76,@pleeezing @warriorsialkot @akberc 1400 years ago the pedophile prophet declared war on all humanity.  So all humanity should hate Islam.,racism
77,@NiceeNhess All of you Islamists repeat the same brain dead lines that someone else told you to say. I've seen that one a thousand times.,racism
78,@_Elreda I guess your idea of a Muslim joke looks like this. #Islam http://t.co/2WVivYIkk5,racism
79,RT @Benfrancisallen: It hasn't been a good few weeks for #ISIS. A new front has opened up in #Sinjar and they're about to lose the battle f…,racism
80,"RT @riwired: .@ORehaf Oh No.Do NOT go to ""Islamic Center"" where they beat you down mentally w/double speak &amp; convert you asap! @izrinhariri…",racism
81,@yousufpoosuf @RKingLive2Dance @izrinhariri The only thing that stopped Muslim slaughter in historical past was military defeat.,racism
82,@yousufpoosuf @RKingLive2Dance @izrinhariri The reason why I have not been murdered is because I will kill any Muslim why tries.,racism
83,@yousufpoosuf @RKingLive2Dance @izrinhariri And most Muslims are actually better behaved than their religion leads them to be.,racism
84,@yousufpoosuf @RKingLive2Dance @izrinhariri But the fact that Islam is a declaration of war means that Islam will always produce terrorists.,racism
85,"RT @riwired: There is no ""moderate Islam"" Islam is #Islam. #Sharia is Islam, no difference. @itsomar99 @VileIslam @BasimaFaysal http://t.co…",racism
86,"RT @riwired: And every Muslim is a ""slave of Allah"" the more religious or ""Islamic"" the more damage and danger there is.@VileIslam  @ORehaf…",racism
87,@riwired @_Elreda I like that picture of Israel in the context of the Muslim world.  A tiny spec they blame for all their own evil.,racism
88,"RT @jemfleming: @riwired @GOP @VileIslam 'When the Muslim population in a region reaches a certain.. point, the agitation begins..' http://…",racism
89,@HillaryGuess @riwired @izrinhariri Who is justifying Christianity microbrain. I don't have a religion. Why are you hiding Islamic barbarity,racism
90,"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal",racism
91,"RT @riwired: Look at all the land occupation in green, of ""Islamic domination"". We are being duped. @jemfleming  @GOP @VileIslam http://t.c…",racism
92,@HillaryGuess @riwired @izrinhariri Because Islam has over 100 operating terrorist groups and a mandate to conquer the world by violence.,racism
93,"@HillaryGuess @riwired @izrinhariri Again, look at this chart and tell me were you get the ""a few"" idea. http://t.co/QSTtdz57VJ",racism
94,@HillaryGuess @riwired @izrinhariri @AtharHKhan Islam attacked and conquered 2/3 of Christianity before there were any crusades.,racism
95,@HillaryGuess @riwired @izrinhariri @AtharHKhan Islam has exterminated all kinds of minorities in the ME Saudi used to be full of minorities,racism
96,@HillaryGuess @riwired @izrinhariri @AtharHKhan Turkey and Egypt used to be mostly Christian and the Muslims have mostly exterminated them.,racism
97,@HillaryGuess @riwired @izrinhariri @AtharHKhan Now you see ISIS following the Quran and Hadiths and prophet exactly in their genocide.,racism
98,@HillaryGuess @riwired @izrinhariri Why are you flapping your lips.  None of this is related to the barbarity of Islam?,racism
99,"RT @riwired: .@HillaryGuess Most stupid comment. Hitler wasn't religious, that's a Muslim lie. Truth is Hitler admired Muslims @VileIslam @…",racism
100,RT @riwired: .@HillaryGuess That pleased Hitler. Grand Mufti provided Hitler w/ armies of Muslim soldiers from Europe. #Tszarnev @VileIslam…,racism
101,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan It's called execution or conversion at sword point.  You're welcome.,racism
102,"@yousufpoosuf @RKingLive2Dance @izrinhariri No, the quotes mean exactly what they say. But most people are naturally less hateful than Islam",racism
103,@yousufpoosuf @RKingLive2Dance @izrinhariri Inciting hatred is central to Islam in order to promote imperialism. http://t.co/kisCI219au,racism
104,"@yousufpoosuf @RKingLive2Dance @izrinhariri But congratulations, you do get to put an X on the bullshit bing card. http://t.co/EYvQeNntHH",racism
105,@ilhaam673 Just because I have no religion does't mean that I don't want to stop Islam from murdering. http://t.co/9KTe08yrfk,racism
106,@ilhaam673 You don't need a perverted religion to feel compassion for humanity. http://t.co/T9Knt5tQmP,racism
107,@B1236M @riwired @ilhaam673 @BasimaFaysal Look at the size of Israel.  And yet Muslims are slavering to destroy it. http://t.co/v8eV7D61eA,racism
108,@ibnHlophe @eeviewonders @CTFleaMarkets Jews used to live on 40% of the Arabian Penninsula.  Muslims have virtually exterminated them.,racism
109,@ibnHlophe @eeviewonders @CTFleaMarkets The Hadith about the Arabian Penninsula is why Muslims will not rest till they destroy Israel.,racism
110,@ibnHlophe @eeviewonders @CTFleaMarkets That Hadith is specific to AP.  Many others are specific to war on non believers everywhere.,racism
111,@ibnHlophe @eeviewonders @CTFleaMarkets 120 million Africans murdered by Islam http://t.co/UYbGO0VcG7,racism
112,"@ibnHlophe @eeviewonders @CTFleaMarkets Yes, it's murder for a fraudulent god.  If every religion used your excuse mankind would be dead.",racism
113,"@ibnHlophe @eeviewonders @CTFleaMarkets You don't guarantee them protection, you guarantee them third class citizenship and extortion.",racism
114,@ibnHlophe @eeviewonders @CTFleaMarkets And for people who are not people of the book you guarantee them death or slavery.,racism
115,@ibnHlophe @eeviewonders @CTFleaMarkets We don't want to teach you. We want to stop your Taquiyya lying about it.,racism
116,@ibnHlophe @eeviewonders @CTFleaMarkets Thanks for admitting that you are murderers. And check your map. http://t.co/TheArY220E,racism
117,"@ibnHlophe @eeviewonders @CTFleaMarkets Actually, it's Islam that has to be destroyed for it's crimes against humanity.",racism
118,@ibnHlophe @eeviewonders @CTFleaMarkets Your prophet started exterminating Jews from the very beginning.  Like the destruction of Khybar.,racism
119,"@ibnHlophe @eeviewonders @CTFleaMarkets Your text is a fraud brought by a pedophile, slave trader, rapist, murderer, bigot, sexist, robber.",racism
120,@tariqahmadbt The idiots don't understand that the prophet of Islam declared war on all humanity 1400 years ago. http://t.co/fHElksY54r,racism
121,@Muhammad1988x The real piss drinkers are the Muslims.  Here is the proof. http://t.co/eD031qpTR9,racism
122,"@LLiraqi I guess if you call murder, rape, slavery, hatred, bigotry and sexism beautiful, then it is beautiful.",racism
123,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Only because there were too many Hindus to exterminate before the British...,racism
124,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan ...unseated the Muslims in power.  Now the Muslims are not in power either.,racism
125,"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Before the British showed up, the Muslims murdered 80 million Hindus.",racism
126,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan And today there is still not peace between them because of the Muslims.,racism
127,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan The only reason there is peace is because the Hindus are in power.,racism
128,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Next door in Pakistan the Muslims still murder Christians and Hindus regularly,racism
129,"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan They claim, ""oh you insulted our religion"" and kill them.",racism
130,@IftikharAwan Really? What are they doing that your prophet did not also do? http://t.co/FAsAWDISlH,racism
131,"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.",racism
132,@yousufpoosuf @HillaryGuess Islam has bloody borders everywhere and cannot get along with anyone.,racism
133,"@RichardDawkins @AbuelitoSerge Really, Muslims understand this.  They just want to be able to use the name ""racism"" to shut us up.",racism
134,"@RichardDawkins @AbuelitoSerge Same goes for the term ""Islamophobia"". It makes as much sense as ""Naziphobia"".",racism
135,@P_Valerianus @CTFleaMarkets @ibnHlophe @eeviewonders We could deal with the violent fanatics if the texts of Islam weren't producing more.,racism
136,@ibnHlophe @eeviewonders @sibanda_tapson @CTFleaMarkets Children grow out of their fairy tales.  Muslims never grow out of theirs.,racism
137,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets All of the land the Muslims have they colonialized.,racism
138,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets There's a huge lie.  They colonialized everything they have at sword point.,racism
139,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets I guess it's time for you to learn about racism in Islam. http://t.co/2fcMyuE3Eu,racism
140,@Pray_4_Life @Pontifex People who call being against Islam racist know that Islam is not race but want to intimidate others into shutting up,racism
141,"@hu_4u The prophet Mohammed was a terrorist, and he knew Islam.",racism
142,@ameerahusman Islam is for liars. http://t.co/5FqRv7WdUu,racism
143,"RT @OmprakashSewa: Under Love Jihad, Muslims lure young Hindu girls &amp; then force them to convert to Islam. Romeos then go 4 their next prey…",racism
144,@nura_skippor @ameerahusman Islam is 1000 years of contributing nothing to mankind but murder and hatred.,racism
145,RT @DHfromtheV: Christian lady in Pakistan is facing execution for blaspheming the prophet Mohommed. They take Islam serious as hell. No fr…,racism
146,@CompoundMixture @CruisingBye @SuperiorMenArmy Are you delusional?  Islam is one of the most violent and barbaric. http://t.co/3uh4RhYbs1,racism
147,"RT @Protoshiv: @rbassilian @ProudPatriot101 Who you call radical muslims are ones following quran to the word, While so called moderates co…",racism
148,"RT @PopeSweetMusic: @rbassilian @ProudPatriot101 @Protoshiv the question is, is there hope for a peacful coexisting islam. No. The answer i…",racism
149,"RT @ProudPatriot101: @PopeSweetMusic @rbassilian @Protoshiv The Koran preaches murder, rape, paedophillia, slavery. It's a War Manual...",racism
150,@hu_4u I read the Quran and the Hadiths.  Disgusting and inhuman.,racism
151,@hu_4u Why would I read lies about what Islam is when I can see what it is in the Quran and Hadiths?,racism
152,"Muslim terrorists murder 12 people in Paris. 22,000 terrorist attacks since 9/11. It's not an aberration, it's the real #Islam",racism
153,"@TheKnowledge @NomCookiesNom Muslims are not a race, idiot, they are a cult of murder and terrorism. http://t.co/4wKPDIkzm8",racism
154,@NomCookiesNom Why is it that no other religions have statistics that are even close in the production of terrorism.,racism
155,@DiversityRUs Islam is a cult of murder that declared war on all of humanity 1400 years ago. Here is proof. http://t.co/JH80InPaNz,racism
156,@J_Eddine @DiversityRUs Bad logic.  If all Muslims did what their books of hatred and murder tell them they would all be dead.,racism
157,@J_Eddine @DiversityRUs 1/3 of all  Muslims believe that people who want to leave the religion should be murdered. http://t.co/mBTflxQk22,racism
158,@DiversityRUs For the last 1000 years Islam has contributed nothing to mankind but murder. http://t.co/h8a8JKfUDo,racism
159,Since 1/3 of all #Islam believes that people who leave the religion should be murdered where are the moderate Muslims http://t.co/E3OtqTbo7D,racism
160,Notice 2/3 Muslims want Sharia and Sharia says that apostates must be killed. But only 1/3 support that directly. http://t.co/2GS6nNTRVj,racism
161,Notice how the news media avoids pointing out that the murderers of the 12 French are followers of the death cult of #Islam.,racism
162,@DiversityRUs The US attacks terrorists and dictators.  Your religion opposes freedom and democracy. http://t.co/EQhYQleABG,racism
163,"@ibnHlophe @sibanda_tapson @CTFleaMarkets Okay, we understand that you and your religion are terrorists.  Don't @ me any more.",racism
164,"Children in Pakistan, journalists in Paris, shoppers in Australia, Ezidis in Iraq.  It all comes from the death cult of #Islam.",racism
165,"@RomeroScott Not gunmen, Muslim terrorists.",racism
166,@AnnaMainwaring1 Your sadness is exactly what the terrorists want.,racism
167,@ldstarr18 @AC360 Islam is worse than the Nazi party ever was.,racism
168,@ldstarr18 @AC360 You are a liar trying to shut people up using the term  #racist.  Islam is not a race and you know it. It is a death cult.,racism
169,@Damhan97 @niall_cullen @AC360 Having more children is what their prophet Mohammed told them to do.  Reproductive imperialism.,racism
170,@niall_cullen @Damhan97 @AC360 How can they be sound when 1/3 of them think people leaving Islam should be murdered? http://t.co/HQCuP3Qdke,racism
171,@Damhan97 @niall_cullen @AC360 A small percentage? The majority are radicals. http://t.co/UVNjYoz2rM,racism
172,@ldstarr18 @AC360 When does freedom of speech not insult someone.  Why should a hate filled religion be excluded? http://t.co/srvMUIMFBC,racism
173,"@ldstarr18 @AC360 But there are many ideologies, and Islam declared war on the human race 1400 years ago. http://t.co/ntOJwO4Lnt",racism
174,RT @TIME: 'Charlie Hebdo' editor killed in Paris terror attack built career on defiance http://t.co/zE8yO2E0W1,racism
175,Will any of the media talking heads ever broach the subject that #Islam is incompatible with free speech and democracy? Are they PC cowards?,racism
176,RT @TINAHILLSTROM1: Via @nprnews: 12 Dead In Shooting At Satirical Publication's Office In Paris http://t.co/n5HZpux8R5 They have proven Pr…,racism
177,@StrangerOnFire @Raqqa_Sl It worked out perfectly.  When the Muslims invaded Europe in 8th cent only military defeat stopped them.,racism
178,@StrangerOnFire @onzelfzuchtig @Raqqa_Sl Pacificim is no solution.  The Hindus tried that and the Muslims slaughter them for 800 years.,racism
179,"@StrangerOnFire @onzelfzuchtig @Raqqa_Sl Until we fight the war on Islam in earnest, we will never know where it gets us.",racism
180,RT @sudixitca: You say Islam is a religion. I say it is a cult. Islam's activities match the description of crime mafia. You must bust it. …,racism
181,"@unteenable 1/3 of the religion is ready to murder apostates.  There are no ""moderate Muslims"" http://t.co/rHENXNvhbO",racism
182,"@RiosJose559 No, Islam declared war on all humanity 1400 years ago.",racism
183,"RT @KV_alumni: In the wake of the #ParisShooting it pisses me off to hear politicians, celebrities &amp; the like,trying to lessen Islam's role…",racism
184,"RT @funnyordead_: Islam according to ex-muslim: Not me 
This guy: PakistaniGuyDontHugMeMySuicideJacketMigh tGoOff 
And I think t... http://…",racism
185,@ziallrh @riotboyafi The prophet Mohammed also had people murdered that spoke against him.,racism
186,@RiosJose559 What you said was incoherent.  But here is the proof that Islam declared war on all humanity. http://t.co/L4QpzH226Y,racism
187,@anjemchoudary You have no say on what freedom of expression extends to.  Everyone should be insulting the phony pedophile prophet.,racism
188,@anjemchoudary Nobody cares what his honor means to you fools.  We have no obligation to honor the slave trader and caravan robber.,racism
189,@anjemchoudary We could care less how much you love the fraud.  We have the right to think of him any way we want and express that.,racism
190,"@MalickBee Already did.  Found out that Islam is a vile, bigoted, hateful, murdering, sexist, slavery supporting cult.",racism
191,"@LUVSHINECAFE @bradybaggett When religious war, jihad, is a cornerstone of the religion there is no possibility for reform.",racism
192,@AnonHeel Political satire always pisses off someone.  Why should the religion of hatred and murder be excluded.,racism
193,@LUVSHINECAFE @bradybaggett We need to outlaw Islam outright.,racism
194,@azmoderate @JoeWSJ You are talking bullshit. The information is clear that the majority of Muslims are not moderate. http://t.co/whdlCI8aXZ,racism
195,"@azmoderate @JoeWSJ Again, you talk like an idiot.  I have no religion and what you say changes nothing about Muslims being extremists.",racism
196,RT @NYDailyNews: EDITORIAL: Murderous soul of radical Islam has attacked the foundation of Western civilization http://t.co/vbu2idLCCt http…,racism
197,"@SafeensS The nuns are wearing the chosen robs of the clergy, not what every woman is required to wear by the sexist religion.",racism
198,"@SafeensS The woman wearing the bikini can wear it or she can cover everything, her choice.  If she makes that choice in Islam she is beaten",racism
199,@KhaledHamaki That is one of the pieces of lying propaganda that Muslims try to fool westerners with.  Here is story. http://t.co/US4H4dOaEe,racism
200,"RT @koda1950: @LeMarquand exactly WHAT has Islam EVER done other than subjugate women, kill and torture?!",racism
201,RT @Kypsta: France is on the verge of major cultural backlash against even moderate Islam. The tension has built for decades. The line has …,racism
202,"@bradybaggett @LUVSHINECAFE Take a poll and see if 1/3 of Christians think gays should be killed.  If they do, Christianity should be banned",racism
203,"@bradybaggett @LUVSHINECAFE If you like it or not, Islam declared war on all humanity in the Quran 1400 years ago.",racism
204,"@ohSAMah Like all such writers, they blab on endlessly as experts without ever having read the Quran or Hadiths.",racism
205,RT @SmokeNMirrors71: @AceofSpadesHQ Same MSM that insists Islam has no connection w/terror censors cartoons cuz they fear being murdered. S…,racism
206,RT @taslimanasreen: All religions are not the same. Islam is more violent than other religions.,racism
207,It's unbelievable the way that journalists fall all over themselves to make excuses for the barbarity of Islam. Not one has read the Quran.,racism
208,@kewldevzzo Islam is full of incitements to murder unbelievers.  What are you talking about?,racism
209,"@kewldevzzo Yes, according to Islam, Muslims are encouraged to kill you.  I'm not a Muslim and I have no issues with Hindus.",racism
210,"@kewldevzzo Yes, the Quran tells Muslims to murder people of other religions. http://t.co/EExrTV2BJx",racism
211,"@AalawOfficial According to your own canon, your prophet is a pedophile, murderer, rapist, caravan robber, slave trader, sexist and bigot.",racism
212,RT @salmonfarmer1: Twisted Logic in the world of Islam http://t.co/6nALv2HPc3,racism
213,@deafgirl1 Islam cannot forbid anything.  It is a sick cult with no power under the law.,racism
214,@ameedjadallah I read the entire Quran.  Islam is what is wrong.,racism
215,@AAQ270 @izrinhariri @TheKnowledge A. He wasn't a prophet.  B. There has been no peace for 1400 years.,racism
216,"RT @CordieMendoza: ""@subratabanik: NO religion is AS VIOLENT as abhorrent as Islam. http://t.co/iUrt6EL834"" @LeslieMarshall",racism
217,@SevilZadeh What does ISIS do that the prophet Mohammed did not also do?,racism
218,@KhaledHamaki This is a more complete picture of the bigotry of Islam than your selective lie. http://t.co/raGDag6tmL,racism
219,"@SevilZadeh Mohammed led 17 major military expeditions.  Most offensive.  He raped, robbed, murdered, lied, slaved, and was a pedophile.",racism
220,@SevilZadeh Karen Armstrong was interested in writing a hero worship book that would sell with Muslims.  Very narrow picture.,racism
221,@KhaledHamaki I don't care.  It's none of Mohammed's business what religion someone wants to be.,racism
222,@IftikharAwan You choose your religion and Islam is clearly barbaric and inhuman. It has zero to do with god.,racism
223,"@IftikharAwan One must imagine god being insulted by having such a hateful, war mongering, decisive, bigoted, sexist religion calling him.",racism
224,@IftikharAwan The Muslims relationship to god is fear.  He is told to fear Allah again and again in the Quran.,racism
225,@IftikharAwan Why does it not occur to you that only an idiot would imagine a god who wants to be feared.,racism
226,"@kewldevzzo I don't ""follow"" any god. But if one were to imagine Satan inventing a religion, it would be like Islam.",racism
227,@IftikharAwan Did your prophet behead people like ISIS - yes.  Did he enslave people like ISIS - yes.  Did he murder people like ISIS - yes.,racism
228,@IftikharAwan Did your prophet rape slaves like ISIS - yes.  Did your prophet tell women to cover up and stay home like ISIS - yes. #Islam,racism
229,@IftikharAwan Did your prophet murder apostates - yes.  Did your prophet rob caravans and commit genocide - yes.,racism
230,@IftikharAwan Looks to me like Baghdadi is a carbon copy of Mohammed without the prophecies. #Islam,racism
231,"@CamilleHughes16 @_Watch_Observe_ The idea about all of these ""moderate"" Muslims is oversold.  Most are extremists. http://t.co/cQJ6cNdGow",racism
232,@CamilleHughes16 @_Watch_Observe_ Nobody cares.  The law protects women.  Mohammed's phony laws abuse women. #Islam,racism
233,"@tommydevlin1974 What is ""mainstream"" about him? Forgetting murdered Christians, closed universities, murdered doctors, women locked at home",racism
234,"@tommydevlin1974 ""Mainstream"" Muslims are also radicals. http://t.co/X5gSyW8PGB",racism
235,@CamilleHughes16 @_Watch_Observe_ That's like saying that my freedom is limited if I'm not allowed to kill you.,racism
236,"@CamilleHughes16 @_Watch_Observe_ A Muslim's ""religious freedom"" involves denying others their freedom.  So Islam must be outlawed.",racism
237,"@CamilleHughes16 @_Watch_Observe_ I don't really care what some Muslims practice.  I care that Islam encourages murder, hatred, sexism.",racism
238,"@KhaledHamaki Obviously the driving meme of Islam is world domination, if it be by force, intimidation, or persuasion.",racism
239,@anthfieg1 @CamilleHughes16 @_Watch_Observe_ Can we kill for Don? And does he give us a bunch of virgins in heaven for doing it?,racism
240,RT @sudixitca: Muhammad was the inventor of thighing. He started molesting Aisha when she was 6 years old. @Shahzadadeindia cc: @TarekFatah,racism
241,@AngelicPsalms @brassidio Stop threatening people to get them to do what you want.  That's why people hate religion.,racism
242,RT @brassidio: Muslims are like spoilt children who throw violent tantrums when they don't get their own way. #RespectForMuslims,racism
243,@akh_fuaadh @ToAllahWeReturn Manipulative and threatening BS.  Proving that people have to be intimidated into following the god of terror.,racism
244,"@TheLadyInBlackk @ToAllahWeReturn People fill ""the void and emptiness"" with all kinds of imaginary nonsense, including Allah.",racism
